ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-01,94.24975057800143,52.76353606940229,86.9276558156664,94.24975057800143,94.24975057800143,-24.941574749831496,-24.941574749831496,-24.941574749831496,-24.941574749831496,-24.941574749831496,-24.941574749831496,0.0,0.0,0.0,69.30817582816994
2016-01-01,103.27692287924538,62.75974663384097,96.67463425045284,103.27692287924538,103.27692287924538,-23.426338598476654,-23.426338598476654,-23.426338598476654,-23.426338598476654,-23.426338598476654,-23.426338598476654,0.0,0.0,0.0,79.85058428076871
2017-01-01,112.32882718971017,71.13185315446125,105.45162163354144,112.32882718971017,112.32882718971017,-23.490481793251448,-23.490481793251448,-23.490481793251448,-23.490481793251448,-23.490481793251448,-23.490481793251448,0.0,0.0,0.0,88.83834539645872
2018-01-01,121.35599879883921,80.36105077899981,112.97897925046313,121.35599879883921,121.35599879883921,-24.963000000000598,-24.963000000000598,-24.963000000000598,-24.963000000000598,-24.963000000000598,-24.963000000000598,0.0,0.0,0.0,96.39299879883862
2019-01-01,130.38317040796824,87.88582307126006,121.13295413515927,130.38317040796824,130.38317040796824,-24.94157474982479,-24.94157474982479,-24.94157474982479,-24.94157474982479,-24.94157474982479,-24.94157474982479,0.0,0.0,0.0,105.44159565814344
2020-01-01,139.4103420170973,100.05859419513214,131.77147060944742,139.4103420170973,139.4103420170973,-23.426338598472867,-23.426338598472867,-23.426338598472867,-23.426338598472867,-23.426338598472867,-23.426338598472867,0.0,0.0,0.0,115.98400341862443
2021-01-01,148.4622456032377,108.17986694323872,142.37287555391177,148.4622456032377,148.4622456032377,-23.490481793258777,-23.490481793258777,-23.490481793258777,-23.490481793258777,-23.490481793258777,-23.490481793258777,0.0,0.0,0.0,124.97176380997892
2022-01-01,157.48941721236673,114.9711024269894,149.06306595478523,157.48941721236673,157.48941721236673,-24.963000000006662,-24.963000000006662,-24.963000000006662,-24.963000000006662,-24.963000000006662,-24.963000000006662,0.0,0.0,0.0,132.52641721236006
2022-12-31,166.49185684448452,139.05283235500013,173.70330808954466,166.109094316281,166.86784553334113,-9.9584553674061,-9.9584553674061,-9.9584553674061,-9.9584553674061,-9.9584553674061,-9.9584553674061,0.0,0.0,0.0,156.53340147707843
2023-12-31,175.51902845361354,155.83465094103357,190.37923948504937,174.2984529582211,176.74019986619513,-2.5217343981933142,-2.5217343981933142,-2.5217343981933142,-2.5217343981933142,-2.5217343981933142,-2.5217343981933142,0.0,0.0,0.0,172.99729405542024
